"",Label,Glyoxylic acid-meto-TMS,Pyruvic acid-meto-TMS,Lactic acid-2TMS,Caproic acid-TMS,Glycolic acid-2TMS,Alanine-2TMS,Hydroxylamine-3TMS,Glycine-2TMS,Oxalic acid-2TMS,3-Hydroxypropionic acid-2TMS,2-Aminoisobutyric acid-2TMS,3-Hydroxybutyric acid-2TMS,2-Aminobutyric acid-2TMS,3-Aminopropanoic acid-2TMS,3-Aminoisobutyric acid-2TMS,Valine-2TMS,Urea-2TMS,Serine-2TMS,Benzoic acid-TMS,2-Aminoethanol-3TMS,Glycerol-3TMS,Octanoic acid-TMS,Leucine-2TMS,Phosphoric acid-3TMS,Isoleucine-2TMS,Proline-2TMS,Glycine-3TMS,Maleic acid-2TMS,Nicotinic acid-TMS,Succinic acid-2TMS,Glyceric acid-3TMS,Uracil-2TMS,Serine-3TMS,Fumaric acid-2TMS,Nonanoic acid-TMS,Threonine-3TMS,Glutaric acid-2TMS,3-Aminopropanoic acid-3TMS,3-Aminoisobutyric acid-3TMS,Decanoic acid-TMS,Malic acid-3TMS,Niacinamide-TMS,Adipic acid-2TMS,Aspartic acid-3TMS,3-Aminoglutaric acid-2TMS,4-Hydroxyproline-3TMS,Methionine-2TMS,4-Aminobutyric acid-3TMS,5-Oxoproline-2TMS,Cytosine-2TMS,Threonic acid-4TMS,Cysteine-3TMS,Creatinine-3TMS,2-Hydroxyglutaric acid-3TMS,3-Hydroxyglutaric acid-3TMS,2-Isopropylmalic acid-3TMS,O-Phosphoethanolamine-3TMS,2-Ketoglutaric acid-meto-2TMS,Hypotaurine-3TMS,Ornithine-3TMS,Glutamic acid-13C5-3TMS,Asparagine-4TMS,Glutamic acid-3TMS,Triethanolamine-3TMS,5-Aminovaleric acid-3TMS,Phenylalanine-2TMS,Lauric acid-TMS,Homocysteine-3TMS,Asparagine-3TMS,Ribonolactone-3TMS,Lysine-3TMS,"1,6-Anhydroglucose-3TMS",2-Aminoadipic acid-3TMS,Glutamine-4TMS,Putrescine-4TMS,Dihydroxyacetone phosphate-meto-3TMS(1),Glycerol 3-phosphate-4TMS,Dihydroxyacetone phosphate-meto-3TMS(2),Glutamine-3TMS,2-Deoxy-glucose-4TMS(2),Glycyl-Glycine-4TMS,2-Aminopimelic acid-3TMS,Citric acid-4TMS,Ornithine-4TMS,Arginine-3TMS,O-Phospho-Serine-4TMS,Hypoxanthine-2TMS,Glycyl-Glycine-3TMS,Cadaverine-4TMS,Methionine sulfone-2TMS,Myristic acid-TMS,Mannose-meto-5TMS(1),Galactose-meto-5TMS(1),Glucose-meto-5TMS(1),Galactose-meto-5TMS(2),Adenine-2TMS,Glucose-meto-5TMS(2),Glucosamine-5TMS(1),Mannitol-6TMS,N-Acetylglutamine-3TMS,Sorbitol-6TMS,Lysine-4TMS,Glucuronic acid-meto-5TMS(1),Tyramine-3TMS,Histidine-3TMS,Glucuronic acid-meto-5TMS(2),Ascorbic acid-4TMS,Tyrosine-3TMS,Galacturonic acid-meto-5TMS(2),N6-Acetyllysine-2TMS,1-Hexadecanol-TMS,Gluconic acid-6TMS,Urocanic acid-2TMS,Palmitoleic acid-TMS,Palmitic acid-TMS,Inositol-6TMS(2),Uric acid-4TMS,Margaric acid-TMS,Octadecanol-TMS,Cystathionine-4TMS,Linoleic acid-TMS,Oleic acid-TMS,Tryptophan-3TMS,Elaidic acid-TMS,Spermidine-5TMS,Tryptamine-3TMS,Stearic acid-TMS,Glucose 6-phosphate-meto-6TMS(1),Cystine-4TMS,Oleamide-TMS,Docosahexaenoic acid-TMS,Sucrose-8TMS,Adenosine-4TMS,Lactose-meto-8TMS(1),Lactose-meto-8TMS(2),Trehalose-8TMS,Spermine-6TMS
2DG-1,2DG,0.263541911,0.027465817,0.904722561,0.063885995,0.062579474,36.35350968,0.810429272,21.98749796,0.042949175,0.063084758,0.005211648,0.095090917,0.044724889,0.054112351,0.007637013,8.929682023,0.340428152,0.222548909,0.208426209,0.172572671,0.085472467,0.02933176,4.531275084,1.634364075,3.16818738,1.992275068,82.49836649,0.015512231,0.135986471,0.085504949,0.008781121,0.008062895,24.11823901,0.088172129,0.331008207,1.906470557,0.000878283,0.240822158,0.013278152,0.041996353,0.035113657,0.04965863,0.0005783854,0.903672292,0.941200486,0.130814524,0.055772571,0.009816954,5.087517425,0.093889061,0.002908995,0.896298748,0.107946796,0.276552984,0.266808214,0.328947368,0.0014311562,0.033962331,0.046616096,0.081574559,0.009607622,0.011296716,4.068773828,0.009773644,0.006976534,1.068117102,0.076658863,0.007200303,0.115742612,0.026076285,0.001027178,0.015100785,0.228309151,0.0027293884,0.03689298,0.098039612,0.189564664,0.097487408,0.102168507,0.016526409,0.225475949,0.014433088,0.019489541,0.259167592,0.03606287,0.0012028658,0.010452169,0.783237753,0.691994216,0.036799142,0.175893112,0.006413503,0.008405767,0.00961484,0.55594278,0.081267779,0.609459617,0.001429139,0.57968032,0.0010284898,0.055989122,0.670169539,0.02264396,0.083602915,0.201319745,0.0013774418,0.019785494,2.038880336,0.004219125,0.009954103,0.007120901,0.0014718948,0.0014093496,0.010740903,1.341732219,0.066708369,0.006384629,0.016728523,0.084212865,0.009437991,0.006373802,0.065235826,0.138025655,0.007582875,0.03584632,0.024574868,1.251787985,0.0015505798,0.001201443,0.406017677,0.00616447,0.0008074432,0.025996883,0.12436493,0.02382416,0.0011242548,0.02220725
2DG-2,2DG,0.560206703,0.034971573,2.615854382,0.132037758,0.13933394,24.34010553,1.27636928,47.84608927,0.255687478,0.131459716,0.071022158,0.195025126,0.02450258,0.025350376,0.0015274026,9.918490416,0.336054657,0.34092306,0.323896496,0.14074051,0.220850781,0.058979606,4.117017979,3.829583121,3.157416003,0.886396101,134.1196686,0.002977644,0.411135958,0.08253805,0.015664952,0.017713792,11.65852045,0.051285218,0.880127551,0.92345505,0.000878283,0.154953933,0.0007343376,0.078633052,0.014874961,0.054477297,0.0005783854,0.303414522,0.325688428,0.225109028,0.011021344,0.0016225502,6.286392313,0.009434939,0.000581799,0.326215089,0.031522586,0.084387786,0.454977273,0.575043128,0.0014311562,0.024104373,0.022607885,0.0056933566,0.0011942474,0.0022593432,1.679810851,0.020205798,0.000879751,0.37648552,0.075396014,0.008118286,0.027675392,0.029859108,0.001027178,0.032254773,0.157670733,0.0027293884,0.026699142,0.101735485,0.189283237,0.081529687,0.02044986,0.019223125,0.150336016,0.007803574,0.016487057,0.229425079,0.0032584646,0.0012028658,0.001158363,1.027913757,1.003321259,0.008266008,0.13828704,0.001203577,0.0009559142,0.0012213316,0.022678535,0.047849076,0.021702286,0.017315585,0.030064634,0.0010284898,0.120194309,0.467366651,0.0039847422,0.087920268,0.069487134,0.0013774418,0.0019777408,0.892343517,0.000843825,0.009293639,0.024489735,0.01005794,0.0014093496,0.001067001,1.792978732,0.060803651,0.0004993564,0.023063897,0.134606836,0.006589685,0.009023886,0.070559724,0.03289062,0.005741889,0.013005957,0.0107259,1.834552835,0.0015505798,0.001201443,0.59397081,0.020398478,0.0008074432,0.023198773,0.100624359,0.018131267,0.007636584,0.0017492318
2DG-3,2DG,0.366823453,0.035617192,0.715143053,0.112549964,0.072424957,35.71549625,0.595917705,31.41519515,0.090079051,0.014482265,0.043196865,0.100776024,0.031531985,0.057529172,0.0015274026,11.46455981,0.315088096,0.283251652,0.153356597,0.161286171,0.072415868,0.061055447,6.266708197,2.558675837,4.254918489,2.334430212,103.4471994,0.025256488,0.219283392,0.073624617,0.010878739,0.01592731,30.77017316,0.093200895,0.674377318,1.768517651,0.000878283,0.207577614,0.003671688,0.043137791,0.030627695,0.057706395,0.003517186,0.964790579,1.036852002,0.105342913,0.071575197,0.013541622,7.059461103,0.053262198,0.000581799,1.438592846,0.106019994,0.148812428,0.297111365,0.367782273,0.0014311562,0.044819133,0.025915393,0.418945065,0.0011942474,0.018853755,4.493646378,0.001020053,0.004398755,1.224848794,0.045896101,0.012764569,0.211962737,0.043110526,0.006929857,0.029214459,0.128668129,0.029650699,0.040693028,0.132417068,0.264529678,0.116294359,0.435017789,0.024815704,0.324680835,0.01267823,0.016522596,0.526314677,0.081249732,0.010669708,0.001158363,0.740426806,0.77922946,0.0016532016,0.106269923,0.001203577,0.0009559142,0.011069594,0.020612348,0.075714935,0.027328629,0.001429139,0.019885281,0.009938096,0.045496214,1.591426863,0.0039847422,0.109469018,0.200175164,0.0013774418,0.028219286,1.865281174,0.005998302,0.013568887,0.01538201,0.009374619,0.0014093496,0.013096293,1.506300955,0.09290098,0.003144565,0.015395643,0.102448278,0.021907436,0.009879022,0.100644243,0.094914046,0.015936399,0.021739302,0.025642743,1.396363888,0.0015505798,0.001201443,0.776189412,0.015836427,0.007211595,0.033713186,0.00576655,0.00576655,0.0011242548,0.049522348
Cer-1,Cer,0.281765544,0.021452015,1.179136034,0.063611571,0.06457906,43.34637924,0.660270133,30.89476516,0.04099201,0.067740616,0.044661908,0.099956355,0.077038348,0.075897039,0.037791098,15.39102553,0.327158809,0.35673773,0.189906579,0.12549478,0.080144151,0.029900324,8.889343153,2.703350739,5.975532437,4.318525791,75.94810298,0.015374873,0.14107955,0.133736473,0.011127761,0.010727647,36.14077494,0.081600304,0.314811027,6.357103474,0.004391415,0.218409784,0.031356477,0.035541276,0.073486516,0.112048325,0.004978468,1.206727504,1.279751593,0.109768987,0.064201903,0.009238698,8.15918425,0.108686712,0.00426351,0.893776023,0.133365876,0.483400056,0.26335046,0.329815303,0.0014311562,0.017949378,0.035062451,0.249382545,0.008641807,0.015332238,4.734693572,0.009146869,0.000879751,4.900806486,0.043313983,0.000806088,0.158209021,0.03455411,0.00513589,0.008071153,1.394705665,0.0027293884,0.048741759,0.201791934,0.413573599,0.1805039,0.211706234,0.017778837,0.235319521,0.014017109,0.023255808,0.943445916,0.069423063,0.0012028658,0.005791815,0.958276372,0.935122232,0.051470406,0.107712664,0.001203577,0.007497219,0.006106658,0.542229936,0.138993709,0.594287395,0.001429139,0.559664413,0.005142449,0.065212027,0.902578532,0.019923711,0.125268486,1.310002838,0.006887209,0.016719519,5.957563382,0.010111078,0.004493084,0.010573505,0.007359474,0.0014093496,0.010822756,1.265547546,0.085057027,0.006988877,0.018178951,0.088477674,0.039588331,0.006798659,0.076693988,0.174430038,0.010550548,0.041802077,0.035833163,1.225332806,0.008359759,0.006608441,0.356006374,0.010347211,0.004037216,0.028863963,0.121680579,0.024852984,0.005621274,0.022058745
Cer-2,Cer,0.52678495,0.055055377,1.097678182,0.122574192,0.122874901,46.19232532,1.000888205,48.81756789,0.2086602,0.116707163,0.041478676,0.174737642,0.043302126,0.062138039,0.0015274026,19.86952727,0.417992197,0.534628981,0.285225883,0.150642517,0.16384813,0.060640891,9.001480615,3.06942206,7.004758678,3.021884413,135.7149089,0.017914591,0.338150703,0.109438957,0.017780232,0.022047743,27.74784619,0.111371174,0.87103941,4.612661716,0.000878283,0.216325086,0.010595201,0.059777152,0.043481272,0.080961156,0.002891927,0.913784904,0.97841819,0.420033181,0.048599726,0.008112751,8.556501366,0.039520868,0.000581799,0.976607536,0.063609595,0.197540357,0.392841391,0.482625483,0.0014311562,0.057876925,0.033122799,0.275084945,0.0011942474,0.018164116,4.545949058,0.00672437,0.007735265,4.87062543,0.164334383,0.008963694,0.157411673,0.075234885,0.001027178,0.024965262,1.324886382,0.0027293884,0.039968732,0.163080362,0.327760241,0.146157471,0.200534653,0.030633951,0.242557166,0.016807725,0.028324248,1.794082319,0.062784244,0.0012028658,0.001158363,0.97431063,0.975852564,0.051069381,0.220509422,0.001203577,0.0009559142,0.0012213316,0.021990161,0.08531824,0.017972174,0.001429139,0.019200603,0.0010284898,0.09091655,1.389052608,0.0039847422,0.116995076,0.694152017,0.0013774418,0.015726452,4.638279581,0.000843825,0.005623902,0.022175705,0.038861867,0.0014093496,0.009264403,1.814197846,0.069316671,0.0004993564,0.030128503,0.139644238,0.033807393,0.011414154,0.104006998,0.065516219,0.011241406,0.013365565,0.025688244,1.742884977,0.010371269,0.001201443,0.882127262,0.020109129,0.0008074432,0.02941192,0.090954938,0.020563391,0.017082842,0.008746159
Cer-3,Cer,0.319676295,0.046079195,1.641371802,0.117639397,0.076313961,40.91980044,0.566854542,31.74773051,0.11855143,0.025657391,0.046939603,0.117734042,0.042224563,0.043179617,0.008462121,12.83097567,0.279701701,0.456911503,0.152167603,0.126514514,0.075939683,0.063575608,6.096783801,2.629473901,4.373406434,2.677880501,96.86937711,0.019591509,0.242828881,0.09436964,0.016334862,0.015521775,36.02503358,0.122965327,0.700248024,3.342714098,0.000878283,0.157295639,0.00856537,0.049976847,0.04343774,0.041768546,0.003437333,1.325618971,1.391022948,0.113548153,0.042981723,0.013508419,9.567173965,0.037664396,0.000581799,0.700962164,0.085933331,0.169156375,0.353597913,0.450247636,0.00801901,0.068436918,0.028273034,0.386284844,0.005971237,0.030729501,5.838334198,0.01271254,0.006995124,1.037416431,0.047911865,0.01035502,0.254362661,0.036666322,0.007214528,0.022473879,0.456601755,0.03565104,0.034743308,0.125864905,0.261886936,0.123163221,0.376351424,0.017457695,0.280858951,0.017948128,0.032785878,0.71518042,0.053973446,0.012174785,0.008388986,0.721005387,0.661951228,0.0016532016,0.092145483,0.001203577,0.004779571,0.0012213316,0.123954797,0.061592366,0.124040838,0.007145695,0.121313342,0.008974064,0.048161384,1.799071833,0.0039847422,0.077251806,0.315438781,0.0013774418,0.012075838,2.470414423,0.000843825,0.006319703,0.011370303,0.0107336,0.007046748,0.001067001,1.122872235,0.071263361,0.0004993564,0.014519399,0.08658294,0.013534231,0.00702954,0.048600192,0.149814385,0.002400541,0.01538411,0.018632153,1.192388966,0.0015505798,0.001201443,0.557480388,0.011550988,0.0008074432,0.022469576,0.004581677,0.004581677,0.0011242548,0.018318104
DMSO-1,DMSO,0.452216496,0.031090317,1.650306522,0.117424758,0.115141419,52.06415427,1.169882714,47.75493953,0.156720104,0.119408265,0.08812767,0.175171331,0.057688913,0.047477312,0.0015274026,10.60632425,0.409052158,0.375413266,0.335720065,0.170108776,0.185204185,0.056674095,4.842472481,3.434050006,3.437278971,1.764421591,127.8585404,0.023040969,0.162065194,0.105033606,0.017003958,0.015787331,22.57346105,0.083416841,0.529469474,1.918033817,0.000878283,0.224609086,0.014576469,0.068903799,0.029152938,0.073211007,0.004468656,0.93673417,1.018605721,0.137156038,0.029983243,0.018433928,7.255310531,0.098910106,0.000581799,0.597116283,0.07131399,0.177731439,0.336948225,0.442869796,0.0014311562,0.026904195,0.062520828,0.028466783,0.0011942474,0.0022593432,3.780771615,0.018964401,0.00697687,0.962571653,0.102565755,0.00403044,0.077287575,0.022020386,0.001027178,0.031788004,0.236873385,0.0027293884,0.061546372,0.11846264,0.261995883,0.116519495,0.069065247,0.025289712,0.243746467,0.007311298,0.014651427,0.263915964,0.034019449,0.0012028658,0.001158363,1.044812228,1.061187692,0.025353138,0.180695167,0.001203577,0.017626687,0.00957734,0.906762459,0.075598134,1.049811358,0.007305532,0.932801752,0.0010284898,0.1301907,0.620457085,0.035945295,0.122118289,0.081986871,0.008983441,0.009888704,1.898158387,0.000843825,0.00706336,0.018952869,0.0014718948,0.013509757,0.001067001,2.129115847,0.143954162,0.0004993564,0.028005502,0.147096637,0.004947235,0.007922495,0.07417393,0.044104197,0.0004801082,0.023940466,0.021541807,2.084763712,0.0015505798,0.001201443,0.606532175,0.028282271,0.0008074432,0.026425616,0.198748539,0.043856259,0.0011242548,0.0017492318
DMSO-2,DMSO,0.538750441,0.057502317,2.941706161,0.135110616,0.142195959,15.89256299,1.485172479,29.07886206,0.26802689,0.141098788,0.038143203,0.178045679,0.018374303,0.018195848,0.0015274026,7.113519064,0.404736996,0.210299852,0.347670904,0.16133035,0.219083827,0.061620011,2.871870588,2.570201538,2.246509761,0.697780699,132.5871498,0.002977644,0.365840314,0.090298466,0.01645095,0.016094039,9.115439087,0.060998722,0.90096216,0.749671582,0.00994063,0.153365949,0.0007343376,0.083338702,0.013688195,0.035988519,0.007144828,0.668923789,0.725685846,0.310168818,0.034964052,0.013655148,4.251146272,0.055175786,0.000581799,0.373388319,0.023972518,0.073768202,0.496449886,0.673854447,0.0014311562,0.039927758,0.021408046,0.0056933566,0.0011942474,0.0022593432,2.637062853,0.020614911,0.011388102,0.636788586,0.083834412,0.010548701,0.064296843,0.035406886,0.001027178,0.03475255,0.289831504,0.0027293884,0.0052233254,0.061124302,0.145196654,0.06629951,0.064402595,0.019167439,0.145309015,0.010456168,0.017171381,0.360294976,0.016292323,0.0012028658,0.001158363,0.664171586,0.658077662,0.024712777,0.147576061,0.001203577,0.006774698,0.0012213316,0.0314346,0.036048004,0.029088241,0.001429139,0.021758348,0.0010284898,0.101878242,0.584990235,0.0039847422,0.07035111,0.06666964,0.0013774418,0.0019777408,0.944214478,0.000843825,0.005941906,0.011863984,0.018737824,0.0014093496,0.011070848,1.740806629,0.058407813,0.0004993564,0.018671729,0.144370472,0.009425092,0.009663033,0.098798233,0.023007536,0.012339865,0.0026011914,0.009643205,1.809558249,0.007752899,0.001201443,1.097838196,0.014547425,0.020535597,0.014831632,0.105268896,0.018856794,0.0011242548,0.0017492318
DMSO-3,DMSO,0.443600989,0.037886587,2.040959667,0.143925382,0.100979211,29.19830846,0.92695504,38.38249487,0.215270701,0.026659017,0.0010423296,0.116381943,0.028783928,0.023965549,0.0015274026,9.95780329,0.394785469,0.439511971,0.18739991,0.187302279,0.167643982,0.076404903,4.696455046,3.471214206,3.326743238,1.340853221,123.3811639,0.023649684,0.281435831,0.075313733,0.019692755,0.012169422,18.92863717,0.076858601,0.840637714,1.223925692,0.000878283,0.179227618,0.0007343376,0.069214665,0.028370432,0.043319467,0.0005783854,1.183977368,1.22807214,0.079856448,0.049826289,0.012100506,7.562867929,0.047161535,0.000581799,1.003112994,0.059330957,0.105188831,0.459107095,0.579710145,0.007155781,0.052565701,0.027399864,0.326547115,0.0011942474,0.020020106,4.342220917,0.017022259,0.000879751,0.879247919,0.102972032,0.012979185,0.189231928,0.028008623,0.010216801,0.029961243,0.153263504,0.020634608,0.044835619,0.168086193,0.35676105,0.157002199,0.32223412,0.021490315,0.293128584,0.019681269,0.027055284,0.441142984,0.041544879,0.009923908,0.01348457,0.75447545,0.681929844,0.0016532016,0.145447278,0.001203577,0.0009559142,0.0012213316,0.013162961,0.057246248,0.025539132,0.001429139,0.012060305,0.0010284898,0.065596573,1.292422482,0.0039847422,0.079776046,0.093852145,0.0013774418,0.011388374,1.526668062,0.000843825,0.011440061,0.014242646,0.008735107,0.014914577,0.001067001,1.635836794,0.097028025,0.0004993564,0.021949755,0.109226162,0.019824844,0.012651834,0.09682702,0.070885878,0.0004801082,0.015276386,0.015017951,1.623828176,0.0015505798,0.001201443,0.772778399,0.032798287,0.0008074432,0.021019389,0.005685572,0.005685572,0.0011242548,0.0017492318
NaN3-1,NaN3,0.719160902,0.043933835,1.434122921,0.162395749,0.15368912,40.38678103,1.492940668,45.98557775,0.38244057,0.149632148,0.0010423296,0.271900604,0.037147172,0.029801214,0.0015274026,7.855833846,0.56760044,0.483856524,0.469865813,0.179733879,0.257726244,0.06736577,2.790787728,3.670858493,2.153575992,0.785549994,165.3756285,0.002977644,0.199417706,0.098260531,0.018957579,0.001612579,9.384894921,0.065262155,0.763161519,1.031205494,0.000878283,0.105172409,0.006461104,0.106591514,0.020702244,0.080621885,0.006085458,0.130340661,0.124213465,0.008363865,0.0022042688,0.0016225502,8.4638454,0.0018869878,0.000581799,0.054335043,0.085931009,0.1118589,0.587284268,0.748502994,0.0014311562,0.014216098,0.033056809,0.0056933566,0.0011942474,0.0022593432,0.287544154,0.015384773,0.011069022,0.082909149,0.114404942,0.000806088,0.0055350784,0.00435123,0.001027178,0.025593984,0.022188131,0.0027293884,0.038307499,0.118695649,0.240279595,0.098903302,0.004089972,0.020418423,0.046087536,0.01481713,0.029867996,0.020535291,0.0032584646,0.0012028658,0.001158363,1.19123885,1.149792624,0.0016532016,0.224627697,0.001203577,0.0009559142,0.0012213316,1.333299653,0.077024035,1.464733861,0.001429139,1.268813832,0.0010284898,0.171252637,0.055779192,0.032664468,0.077282813,0.013333928,0.0013774418,0.0019777408,0.293938476,0.000843825,0.0008986168,0.023264982,0.0014718948,0.0014093496,0.015635203,2.774301062,0.131768115,0.0004993564,0.035227206,0.221221844,0.000989447,0.016962484,0.132736445,0.0046015072,0.021261539,0.0026011914,0.001928641,2.858337148,0.014149316,0.001201443,0.88303419,0.02366567,0.008573066,0.020919284,0.294280731,0.056805956,0.0011242548,0.0017492318
NaN3-2,NaN3,0.47671791,0.035263468,2.026374687,0.106588171,0.114007948,22.14043173,0.714011318,39.727201,0.171597695,0.115642531,0.0010423296,0.157477802,0.023296985,0.047737621,0.0015274026,8.832642513,0.367624867,0.260891647,0.247547206,0.130102729,0.163804139,0.050566062,4.083962648,2.348091773,2.971782642,1.05170603,116.2922078,0.017874411,0.293778556,0.073338642,0.019693093,0.01152576,12.83421216,0.051174149,0.729698847,1.016264041,0.000878283,0.14568984,0.0007343376,0.067865859,0.025980379,0.049282943,0.0005783854,0.510268693,0.548617227,0.27674654,0.031497792,0.010672206,5.206597287,0.029026392,0.000581799,0.412271843,0.072747291,0.118247821,0.392422544,0.516795866,0.0014311562,0.033506153,0.016987385,0.030465718,0.0011942474,0.0022593432,2.644124156,0.010588524,0.000879751,0.679049104,0.062811484,0.008909312,0.059486531,0.058504666,0.001027178,0.018309556,0.262883272,0.0027293884,0.030521505,0.090063825,0.179519562,0.084261893,0.049171367,0.038951042,0.148730275,0.010460213,0.016390456,0.38269873,0.02300131,0.0012028658,0.001158363,0.789804623,0.791952454,0.028591248,0.107960551,0.001203577,0.012423943,0.007391884,0.159168173,0.067307981,0.182989563,0.009478347,0.159837626,0.0010284898,0.083525494,0.674837125,0.0039847422,0.078398596,0.10238735,0.0013774418,0.0019777408,1.20937909,0.000843825,0.007464408,0.015799105,0.020613592,0.0014093496,0.001067001,1.474722604,0.066314958,0.0004993564,0.017612209,0.11290335,0.011581547,0.008569006,0.057355437,0.039414081,0.009015309,0.013495069,0.010158958,1.529322124,0.0015505798,0.001201443,0.562770592,0.019575939,0.015815841,0.020061293,0.085243759,0.017757257,0.008808894,0.0017492318
NaN3-3,NaN3,0.310251872,0.044984761,0.928301515,0.093447945,0.057703413,26.94812673,0.340078106,22.7586968,0.040698974,0.018747207,0.026312244,0.085690848,0.023819018,0.0992631,0.009236672,7.898659634,0.317244285,0.142757617,0.114578121,0.115108065,0.069611143,0.047285926,4.398039292,1.928824768,3.063334891,1.575572757,78.4282454,0.01488822,0.11352179,0.053357162,0.009521205,0.009489195,20.13862612,0.090510136,0.52793074,0.99307203,0.000878283,0.160021692,0.0007343376,0.04789056,0.033308214,0.036267363,0.0005783854,0.612693297,0.638614308,0.041819325,0.061228072,0.011893504,4.974294506,0.053431852,0.000581799,0.812962266,0.131760393,0.141171342,0.238883734,0.300030003,0.0014311562,0.036978697,0.009645689,0.348027263,0.0011942474,0.015973005,2.845051389,0.005100265,0.000879751,0.914188648,0.042527102,0.01071269,0.120862757,0.02175615,0.014223123,0.015738264,0.087956447,0.013646942,0.026116627,0.103940121,0.214730389,0.09136018,0.156347652,0.018935711,0.239918725,0.012636848,0.017402786,0.393410371,0.063924028,0.006014329,0.001158363,0.560299993,0.509734817,0.0016532016,0.086188782,0.006017885,0.006515819,0.009606565,0.121218424,0.090872916,0.125888331,0.001429139,0.129345414,0.010933203,0.04040377,1.40347617,0.0039847422,0.070468301,0.217717991,0.0013774418,0.013017412,1.155672308,0.005733352,0.005861392,0.00786024,0.007902921,0.0014093496,0.005335005,1.144586168,0.082585875,0.002496782,0.012025101,0.082632112,0.01806077,0.005374128,0.040862581,0.075102642,0.0004801082,0.021123063,0.022755574,1.102667257,0.0015505798,0.006007215,0.414277354,0.016812379,0.004769494,0.028584956,0.002578586,0.002578586,0.0011242548,0.048982458
