"","GSEA.2DG.m.DMSO","GSEA.Cer.m.DMSO","GSEA.NaN3.m.DMSO"
"C00009",-0.00702415835359268,0.0144787082610506,-0.314051938919833
"C00022",0.45371455989903,-0.350367735299672,-0.320835365012689
"C00025",-0.0163537462499286,-0.152238723288756,-0.285280409101002
"C00026",-0.623733238075792,-0.463735721757612,-0.454907712398569
"C00037",-0.0420501196729474,-0.00576056994073784,-0.35116257902965
"C00041",-0.140611019370921,-0.146313367737163,-0.339805042907089
"C00042",-0.0857666907971012,-0.100797693162999,-0.357360811178826
"C00047",-0.00261058836759125,-0.0222608829773588,-0.423793010719926
"C00048",0.310423453432748,0.180966129881051,-0.125945446328979
"C00049",-0.228478747757703,-0.342587096436554,-0.341733811352114
"C00062",0.414765034736265,0.36953090289262,0.402728249315948
"C00064",0.0572847800702494,-0.114977130839594,0.405257782229471
"C00073",0.295642437307171,0.423881760983934,0.717712841577718
"C00077",-0.116579200334016,0.040110823255746,-0.156569575975987
"C00079",-0.191503693915297,-0.242548828449385,-0.265235288503468
"C00082",-0.22865089980939,-0.178736408362076,-0.355336863364303
"C00086",6.92060945695021e-05,0.100292482495063,-0.44826697597449
"C00089",0.000528683737446631,0.0450656374949526,-0.160629509564357
"C00093",0.589889925551636,0.449388735985869,0.348414366821112
"C00097",-0.405726657062455,0.321364048134004,-0.395456406748582
"C00099",0.0979011179537121,0.165164113329248,-0.08035663948341
"C00106",-0.37401940329452,-0.37401940329452,-0.450176766703577
"C00111",0.379983248510826,0.342557969214838,-0.401323863879968
"C00116",-0.156013547339622,0.190846190679425,-0.416341660374164
"C00122",0.149904262934067,0.597095971955444,-0.505269137398118
"C00123",-0.25181676500007,-0.206162010517507,-0.315947528345685
"C00134",0.356929533144289,0.391202834315688,0.0684081136762103
"C00137",-0.101465602556245,0.417509017973904,0.389379584570667
"C00147",-0.477373187901256,-0.0174075384039355,-0.0266485567889934
"C00148",-0.261931340136084,-0.290143074378986,-0.339374970372874
"C00152",-0.269744579485041,0.206613897914975,0.405364579584661
"C00153",-0.374118405484904,-0.374206248948664,-0.374217725182471
"C00158",1.30806051443453,0.596514767320717,0.331507036741558
"C00183",-0.216771972871786,-0.147077581623222,-0.302626690513531
"C00186",0.0166465011861685,0.110596921194418,-0.456353412898553
"C00188",-0.331075562431623,-0.33836102178404,-0.360021864000882
"C00189",-0.0787193140263747,-0.111865432625805,-0.616367543754059
"C00192",0.152518632000084,0.118828194690247,-0.168011655404729
"C00209",0.397757893041475,0.225912897508745,-0.077941173619107
"C00267",0.343035749811101,0.361995511374903,0.465157668908586
"C00249",-0.0844388854432111,-0.210635210265893,-0.46114912126113
"C00253",-0.387790621155621,-0.338703925133292,-0.375984237519051
"C00258",0.323196668442599,0.0184429423856569,-0.318508898599899
"C00315",-0.37401940329452,0.37401940329452,0.37401940329452
"C00380",0.362596121192318,-0.454710274611891,0.171629613476663
"C00392",0.334401510500716,-0.0288601148876427,-0.13460371033312
"C00407",-0.24797048380536,-0.202438081211791,-0.314549636004488
"C00431",-0.402809090386539,-0.388570380728858,-0.402534621061122
"C00438",0.731169729287834,0.731169729287834,-0.362574987498373
"C00483",-0.527918061870105,0.304333833011128,-0.409249742918613
"C00489",-0.311562927398467,-0.325247189528852,-0.400043333425609
"C00519",0.323829678221667,0.283437022047512,0.299723503900778
"C00539",0.293852135244228,0.0978107520136824,-0.232339234889083
"C00712",-0.221369737356553,-0.375218483685512,-0.587391680494252
"C00716",-0.371850701883219,-0.578537077152487,-0.507234041834878
"C00791",-0.478695614289833,-0.216914415808728,-0.419410392284813
"C00794",0.582471465541459,0.42953197813643,-0.138908084740949
"C00815",NA,-0.37401940329452,-0.37401940329452
"C00823",0.115189042873167,-0.0802364436870359,-0.36387006308914
"C00936",-0.26442442235564,0.0819714239017517,0.286299673537504
"C00956",-0.187094653818315,0.37720517619761,0.314900482528488
"C00984",0.221282784899657,-0.00273843871334029,0.243746671033579
"C01013",0.12277765465947,0.109560834736925,-0.178010869491762
"C01089",0.065053269922341,0.165342266237059,-0.153021911635532
"C01157",0.0515541900885695,-0.36904510548282,-0.40054890910931
"C01384",-0.542174494757094,-0.542174494757094,-0.595804910550341
"C01487",0.327209637738476,0.101459294601697,0.533512003087801
"C01530",0.0570578112356762,0.0112808199223482,-0.390592838883536
"C01571",-0.0367981684319592,-0.0729632148722086,-0.446869537595104
"C01585",0.120521150475127,0.128444975901482,-0.252587082018771
"C01595",0.0140922804884172,-0.138407212009469,-0.404229114412291
"C01601",0.0589678702531149,0.0793672292196387,-0.251825521566777
"C01620",-0.360389009559592,-0.356478425539382,-0.359610652298137
"C01672",0.0367314521180679,0.0828445173217848,-0.0744386347909356
"C01712",-0.38174410936767,-0.412274570587691,-0.43177706268636
"C01879",-0.0920585075054383,-0.0296983238782643,-0.42236021962665
"C02037",0.0522603617326514,0.154467341399755,-0.269669538295312
"C02291",-0.37401940329452,-0.0201431096454017,0.37401940329452
"C02336",-0.0602621300319749,0.306605788129632,0.494993722018463
"C02356",-0.37401940329452,-0.0268153975826022,-0.0264744752180571
"C02504",0.540268569023256,0.234408545333055,-0.320381738070585
"C02630",0.374916334403756,0.309737336565921,-0.313824597861869
"C02674",-0.173249147597934,-0.327131583695448,0.171014212001614
"C02679",0.0925746215504496,0.0591162213757381,-0.352781041561054
"C03547",0.574684617468858,0.100960959594864,-0.381823157020874
"C03665",0.231771495035271,-0.190932123903852,-0.177505406901699
"C03668",-0.375359144483966,-0.504602268938123,-0.299419932559809
"C05574",-0.2430858595208,-0.337034912980088,-0.332024171921056
"C06104",-0.269777226385312,-0.375071799517791,-0.443974515200522
"C06423",0.117624903860893,0.16204560722576,-0.108210503954643
"C06424",-0.294094015996416,-0.434627348643914,-0.494236379819876
"C06771",-0.0662526320531416,-0.321206858596168,-0.324568843722653
"C08362",-0.41305491061986,-0.735849248741843,-0.739104983094194
"C16513",-0.134475399094745,-0.00746992774778634,-0.0779458850893694
"C19670",0.0236692569729416,0.162725739730345,-0.946773590462214
"D01924",-0.0216164874670646,-0.00776496412664906,-0.299134451091467
